Name,Yelp Rating,NYC Rating
the-red-flame-new-york-2,3.5,8.916666666666666
margies-red-rose-diner-new-york,4.0,10.857142857142858
curry-leaves-flushing,3.5,37.45238095238095
grand-canyon-restaurant-brooklyn,3.5,17.8
knish-nosh-forest-hills,3.5,21.6
breadzone-brooklyn,3.5,29.2987012987013
east-ocean-buffet-brooklyn-2,2.0,44.0
la-oficina-jackson-heights,3.5,11.823529411764707
no-1-chinese-restaurant-new-york-3,3.0,11.8125
mill-basin-kosher-delicatessen-brooklyn,4.0,13.461538461538462
friendly-pizza-restaurant-long-island-city,5.0,16.94871794871795
kai-feng-fu-brooklyn,4.0,21.735294117647058
arnor-crepes-and-bubble-tea-bensonhurst,4.5,9.75
ollies-new-york-3,3.5,19.853658536585368
chai-new-york,3.5,19.975609756097562
omai-new-york-2,3.5,25.12121212121212
wah-fung-1-fast-food-new-york-2,4.5,26.0
walkers-new-york-2,3.5,12.037037037037036
aroma-espresso-bar-new-york,3.5,10.166666666666666
the-organic-grill-new-york,3.5,20.193548387096776
sazon-new-york,3.5,27.82
ivan-ramen-new-york,3.5,7.0
grindhaus-new-york-2,4.0,12.0
shake-shack-new-york-5,4.0,19.075
szechuan-garden-brooklyn-4,3.5,25.565217391304348
pizza-d-amore-brooklyn-3,3.5,19.133333333333333
palo-santo-brooklyn,4.0,17.875
radiance-tea-house-and-books-new-york-2,4.0,35.41269841269841
bua-new-york,4.0,15.310344827586206
battersby-brooklyn,4.0,28.558823529411764
cocoa-bakery-jersey-city-3,4.5,13.047619047619047
canteen-82-new-york,3.0,27.442622950819672
coppolas-east-new-york-2,3.0,22.287128712871286
caribbean-roti-express-jamaica,1.0,15.041666666666666
chicago-fry-chicken-asbury-park,1.0,1.25
flowers-cafe-new-york,3.5,8.0
moca-bar-and-lounge-new-york,3.0,21.52777777777778
grand-prospect-hall-brooklyn,2.5,22.63157894736842
casa-java-new-york,2.5,16.38095238095238
mishima-restaurant-new-york,3.5,28.40625
la-bergamote-new-york,4.0,16.142857142857142
farmers-pizza-and-grill-saint-albans,2.5,24.93617021276596
jay-and-lloyds-kosher-deli-and-family-restaurant-brooklyn,4.0,8.88888888888889
tastys-diner-astoria,3.0,23.176470588235293
club-cats-new-york,3.5,5.777777777777778
summers-juice-and-coffee-brooklyn,4.5,6.0
dub-pies-the-pie-truck-new-york,3.5,25.291666666666668
j-j-chans-garden-east-elmhurst,3.5,25.575
la-brochette-new-york,4.0,9.0
barn-joo-new-york,4.0,12.526315789473685
baker-street-pub-new-york,3.0,18.233333333333334
ny-and-seoul-flushing,4.0,19.17241379310345
friend-of-a-farmer-new-york,3.0,16.176470588235293
sanfords-restaurant-astoria,4.0,16.054054054054053
wing-wagon-brooklyn,3.0,12.6
paesano-of-mulberry-street-new-york,3.5,25.5
1818-seafood-restaurant-sheepshead-bay,4.0,20.869565217391305
cafe-hanover-new-york,3.5,18.451612903225808
tacos-el-bronco-brooklyn-2,4.5,24.565217391304348
jacques-1534-new-york,3.5,19.35
chez-josephine-new-york,3.5,26.38235294117647
new-kam-lai-new-york-2,3.0,17.0
courtyard-new-york-manhattan-soho-new-york,4.0,21.425531914893618
babylon-hookah-lounge-new-york,3.0,16.12676056338028
michael-jordans-the-steak-house-nyc-new-york,3.0,13.2
thai-boulevard-forest-hills,2.0,17.636363636363637
hillstone-restaurant-new-york,4.0,12.176470588235293
josephines-pizza-ozone-park,4.0,12.5
the-bagel-cafe-rays-pizza-new-york,2.5,10.0
east-ming-dragon-resturant-jamaica,3.0,19.91176470588235
lamoza-brooklyn-2,4.0,8.64
sway-lounge-new-york,3.5,23.3
phoenix-new-york,3.5,13.6
the-bao-new-york,4.0,12.875
gmt-tavern-new-york,3.5,30.166666666666668
bell-book-and-candle-new-york,4.0,18.657894736842106
king-dragon-jersey-city,3.5,10.0
tortilleria-mexicana-los-hermanos-brooklyn-2,4.0,21.511111111111113
roasting-plant-new-york-3,4.0,22.88888888888889
papas-empanadas-jackson-heights,3.5,19.361702127659573
diy-billards-and-lounge-queens,3.5,16.033333333333335
johns-of-12th-street-new-york-2,3.5,18.0
ciros-pastry-shop-rockaway-park,4.5,19.863636363636363
genesis-jamaica,4.0,23.37142857142857
proskauer-rose-llp-new-york,1.0,6.333333333333333
ka-ka-bakery-brooklyn,4.0,21.56756756756757
golden-theatre-new-york,3.5,6.615384615384615
cheltons-bar-and-grill-manhattan,2.0,12.9375
serendipity-3-new-york,3.0,11.333333333333334
city-rib-jamaica-2,3.0,15.357142857142858
sunnys-bar-brooklyn,4.5,7.0
jj-bakery-brooklyn,4.0,13.636363636363637
rintintin-new-york,3.5,15.714285714285714
august-new-york,3.5,1.0
monkey-bar-new-york,3.5,15.76923076923077
buddys-kosher-delicatessen-queens,3.5,20.771428571428572
shun-lee-palace-new-york,3.5,10.333333333333334
rosarios-astoria-2,4.5,16.823529411764707
pho-32-and-shabu-new-york,3.0,20.823529411764707
curry-heights-brooklyn,3.0,24.24
new-jade-house-new-york,3.0,17.08
grand-appetito-new-york,4.0,6.2727272727272725
the-coffee-bean-and-tea-leaf-new-york,3.5,9.222222222222221
tommy-bahama-restaurant-and-bar-new-york-new-york,4.0,25.333333333333332
bellerose-famous-pizza-jamaica,4.0,16.17391304347826
tartinery-new-york-6,3.5,0.6666666666666666
prosperity-dumpling-new-york,4.5,21.071428571428573
jojo-pizza-bronx,5.0,9.333333333333334
cafe-paulette-brooklyn,4.0,13.9375
tower-diner-rego-park,3.5,10.5
ilili-new-york-2,4.0,16.31578947368421
kissena-cafe-flushing,3.5,23.58695652173913
